Vivado Simulator 2020.2
Time resolution is 1 ps
Time:                 1000, Counter:        -128, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                 3000, Counter:        -127, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                 5000, Counter:        -126, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                 7000, Counter:        -125, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                 9000, Counter:        -124, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                11000, Counter:        -123, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                13000, Counter:        -122, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                15000, Counter:        -121, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                17000, Counter:        -120, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                19000, Counter:        -119, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                21000, Counter:        -118, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                23000, Counter:        -117, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                25000, Counter:        -116, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                27000, Counter:        -115, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                29000, Counter:        -114, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                31000, Counter:        -113, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                33000, Counter:        -112, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                35000, Counter:        -111, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                37000, Counter:        -110, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                39000, Counter:        -109, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                41000, Counter:        -108, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                43000, Counter:        -107, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                45000, Counter:        -106, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                47000, Counter:        -105, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                49000, Counter:        -104, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                51000, Counter:        -103, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                53000, Counter:        -102, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                55000, Counter:        -101, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                57000, Counter:        -100, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                59000, Counter:         -99, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                61000, Counter:         -98, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                63000, Counter:         -97, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                65000, Counter:         -96, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                67000, Counter:         -95, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                69000, Counter:         -94, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                71000, Counter:         -93, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
Time:                73000, Counter:         -92, U: 0, V: 0, W: 0: dutyA:  45: dutyB:  85 :dutyC: 128
